epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.5600000023841858,0.7033519744873047,0.694915235042572,0.6757274270057678
1,0.6399999856948853,0.680794894695282,0.694915235042572,0.6533689498901367
2,0.6399999856948853,0.6645866632461548,0.694915235042572,0.625124454498291
3,0.6399999856948853,0.6743772625923157,0.694915235042572,0.560964047908783
4,0.6399999856948853,0.6043124794960022,0.7288135886192322,0.47221627831459045
5,0.6666666865348816,0.5266354084014893,0.7966101765632629,0.36563873291015625
6,0.7599999904632568,0.4368583559989929,0.8135592937469482,0.4329204559326172
7,0.8133333325386047,0.4584110379219055,0.7796609997749329,0.4409370422363281
8,0.8133333325386047,0.43359124660491943,0.8983050584793091,0.2105529010295868
9,0.8933333158493042,0.2627880275249481,0.9661017060279846,0.1352606564760208
