epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.6399999856948853,0.6793910264968872,0.694915235042572,0.7474615573883057
1,0.6399999856948853,0.8068987727165222,0.694915235042572,0.637037456035614
2,0.6399999856948853,0.6581342816352844,0.694915235042572,0.6153321862220764
3,0.6399999856948853,0.6302428245544434,0.694915235042572,0.5858239531517029
4,0.6399999856948853,0.635636031627655,0.7457627058029175,0.5397647023200989
5,0.6800000071525574,0.5720992684364319,0.694915235042572,0.5544310808181763
6,0.653333306312561,0.5823102593421936,0.694915235042572,0.5115917921066284
7,0.6666666865348816,0.5442590713500977,0.8474576473236084,0.4393935799598694
8,0.800000011920929,0.4747491478919983,0.7457627058029175,0.3896633982658386
9,0.6933333277702332,0.46824997663497925,0.9322034120559692,0.29549098014831543
